Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Mark Anderson,75.0,52.23,295.7,63.85,29.28,53.45,71.692,209,0,0,-0.133,-0.875,-0.217,-0.542,0.017,441019.0
Derek Lamely,64.0,52.08,289.1,60.3,28.82,57.34,71.876,160,0,0,0.636,-1.035,-0.754,-0.7140000000000001,-0.204,185479.0
Michael Bradley,63.0,51.88,284.5,65.35,29.78,53.8,72.059,173,0,0,-0.189,-0.954,-1.146,0.391,-0.01,191746.0
James Driscoll,83.0,51.32,291.1,62.38,28.8,54.39,71.24600000000002,408,0,2,0.434,-0.059,-0.525,0.032,0.0,687338.0
Stephen Gangluff,57.0,49.93,291.5,59.15,29.55,53.33,72.995,3,0,0,-0.243,-1.959,-0.932,-0.488,-0.29600000000000004,58702.0
Daniel Chopra,55.0,47.27,295.6,59.8,28.59,53.39,71.872,70,0,0,0.331,-0.679,-0.489,-0.589,0.068,192198.0
Joe Durant,71.0,75.65,283.6,71.26,30.61,59.1,71.428,260,0,0,-0.861,-0.233,0.382,0.494,-0.246,358790.0
Heath Slocum,89.0,74.92,281.9,71.4,30.16,54.53,70.988,388,0,0,-0.493,-0.036000000000000004,0.192,0.339,-0.07400000000000001,767216.0
Jerry Kelly,85.0,73.3,275.6,66.25,28.96,62.55,70.241,651,0,3,0.257,0.667,0.038,0.161,0.211,1451797.0
Brian Gay,90.0,72.77,269.8,63.44,28.28,63.78,70.214,685,0,3,0.556,0.737,-0.36,0.117,0.425,1157525.0
Ben Curtis,66.0,71.91,276.7,65.82,29.42,61.58,70.839,304,0,0,0.239,0.19,-0.046,-0.063,0.06,423466.0
David Toms,78.0,71.82,279.1,70.2,28.96,61.21,69.706,1538,1,6,0.446,1.2819999999999998,0.166,0.669,0.001,3858090.0
Nick O'Hern,89.0,71.67,276.3,66.67,29.26,59.22,70.8,463,0,2,-0.056,0.462,0.013,0.127,0.378,940224.0
Zach Johnson,79.0,71.06,278.2,66.38,28.71,63.98,69.96600000000001,962,0,4,0.58,1.033,0.012,0.349,0.092,1880406.0
Billy Mayfair,94.0,70.41,283.3,68.77,29.54,60.87,70.747,353,0,1,-0.237,0.385,0.213,0.116,0.292,780578.0
Brian Davis,105.0,70.33,283.3,67.35,29.1,59.0,70.469,685,0,1,-0.035,0.605,0.226,0.493,-0.079,1308009.0
Aron Price,58.0,70.29,282.6,67.09,29.46,55.19,70.729,272,0,0,0.094,0.28,-0.17600000000000002,0.453,-0.091,333290.0
Chris Riley,76.0,70.19,279.3,64.81,29.31,61.62,71.143,292,0,1,-0.292,-0.091,-0.087,-0.301,0.59,397204.0
Justin Hicks,60.0,69.88,286.0,65.71,30.63,50.47,72.008,145,0,0,-0.955,-1.416,0.202,-0.192,-0.472,284990.0
Steve Elkington,50.0,69.58,285.4,66.44,29.5,60.26,71.598,107,0,1,0.312,-0.34,-0.004,-0.6509999999999999,0.003,176225.0
Paul Goydos,81.0,69.0,274.8,64.47,29.44,55.79,71.722,474,0,3,-0.628,-0.594,-0.276,0.452,-0.142,1385328.0
Rocco Mediate,53.0,68.91,275.5,62.16,29.68,51.8,72.975,85,0,0,-0.621,-1.5219999999999998,-0.248,-0.682,0.03,136299.0
Briny Baird,60.0,68.74,289.1,69.14,29.67,60.0,70.435,258,0,2,0.078,0.5429999999999999,0.101,0.252,0.112,942286.0
Jim Furyk,87.0,68.0,281.4,67.57,29.45,58.37,70.37,661,0,3,-0.16,0.655,-0.017,0.643,0.19,1529690.0
Garrett Willis,71.0,67.85,279.7,64.41,29.2,58.14,71.458,270,0,1,-0.031,-0.278,-0.066,-0.037000000000000005,-0.14400000000000002,526390.0
Mark Wilson,89.0,67.63,284.8,66.03,29.09,62.97,70.52600000000002,1461,2,4,0.233,0.477,0.006999999999999999,-0.017,0.255,3158477.0
Jason Bohn,74.0,67.48,284.9,67.3,29.23,58.25,71.336,284,0,0,-0.069,-0.14400000000000002,-0.103,0.16699999999999998,-0.139,411943.0
Stephen Ames,69.0,67.44,283.8,65.3,29.15,60.59,71.12100000000002,298,0,2,0.012,-0.262,-0.131,0.029,-0.171,547589.0
Johnson Wagner,81.0,67.35,282.2,67.17,29.56,57.8,70.654,585,1,1,0.4270000000000001,0.057,-0.059,-0.119,-0.192,1224556.0
Chez Reavie,92.0,67.32,293.5,68.6,29.58,55.0,70.744,588,0,3,-0.077,0.419,0.381,0.461,-0.34600000000000003,2285067.0
John Merrick,71.0,67.31,297.2,68.69,29.62,58.03,70.423,415,0,1,0.058,0.43,0.319,0.134,-0.081,704789.0
Ben Crane,76.0,67.06,284.9,66.36,29.08,61.31,70.434,526,0,2,0.134,0.49,0.101,0.162,0.093,1679595.0
Shane Bertsch,62.0,67.05,280.1,64.38,28.8,59.33,70.869,207,0,1,0.146,0.3670000000000001,-0.245,0.199,0.267,488584.0
John Rollins,85.0,66.84,296.7,69.08,29.8,56.28,70.584,608,0,2,-0.101,0.6709999999999999,0.647,0.124,0.002,1370566.0
David Mathis,83.0,66.82,282.0,64.29,28.84,60.81,70.899,326,0,1,0.215,0.095,-0.091,0.003,-0.032,715404.0
John Senden,94.0,66.82,293.3,70.86,29.84,54.77,70.199,732,0,2,0.302,0.967,0.496,0.453,-0.28300000000000003,2294811.0
Boo Weekley,66.0,66.74,296.6,71.68,30.84,52.85,71.176,223,0,0,-1.1,-0.282,0.6829999999999999,0.4920000000000001,-0.35700000000000004,279531.0
Rod Pampling,72.0,66.7,291.6,65.89,28.97,63.1,70.803,385,0,2,0.13,0.4970000000000001,0.193,-0.18,0.353,668768.0
Chris DiMarco,93.0,66.67,277.9,65.11,29.1,60.47,70.90899999999998,499,0,0,-0.145,-0.021,-0.313,0.383,0.053,761932.0
Bryce Molder,82.0,66.46,282.0,65.0,28.38,62.5,70.433,493,0,4,0.77,0.653,-0.325,-0.138,0.34600000000000003,1957944.0
D.A. Points,89.0,66.45,287.4,64.92,29.04,58.36,70.62100000000002,1055,1,3,0.227,0.297,0.044,-0.097,0.124,2034156.0
J.J. Henry,96.0,66.43,291.1,68.96,30.03,56.03,70.671,599,0,1,0.139,0.3720000000000001,0.239,0.08,-0.086,873377.0
